iter	Passed	Remaining
0	173	172891
1	175	87757
2	178	59399
3	180	44966
4	182	36305
5	184	30640
6	186	26525
7	188	23423
8	191	21056
9	193	19131
10	195	17542
11	197	16253
12	199	15121
13	200	14139
14	202	13325
15	204	12595
16	206	11947
17	208	11362
18	210	10846
19	211	10376
20	213	9963
21	215	9562
22	216	9209
23	218	8880
24	220	8586
25	221	8304
26	223	8039
27	224	7794
28	226	7578
29	227	7358
30	229	7158
31	230	6968
32	231	6788
33	232	6615
34	234	6451
35	235	6298
36	236	6152
37	237	6016
38	238	5883
39	239	5755
40	240	5632
41	241	5516
42	242	5405
43	243	5296
44	244	5194
45	245	5100
46	247	5012
47	249	4939
48	250	4858
49	251	4775
50	252	4695
51	253	4619
52	254	4544
53	255	4472
54	256	4404
55	257	4338
56	258	4273
57	259	4212
58	260	4155
59	261	4095
60	262	4039
61	263	3983
62	264	3930
63	265	3877
64	266	3827
65	266	3777
66	267	3729
67	268	3684
68	269	3638
69	270	3595
70	271	3552
71	272	3514
72	273	3476
73	274	3438
74	275	3401
75	276	3366
76	277	3330
77	278	3296
78	279	3263
79	280	3230
80	281	3197
81	282	3165
82	283	3133
83	284	3103
84	285	3075
85	286	3048
86	287	3020
87	288	2993
88	290	2974
89	291	2948
90	292	2925
91	294	2901
92	295	2877
93	296	2852
94	297	2829
95	298	2807
96	299	2784
97	300	2762
98	301	2740
99	302	2718
100	302	2696
101	303	2674
102	304	2652
103	305	2636
104	307	2618
105	308	2599
106	309	2580
107	310	2561
108	311	2543
109	312	2526
110	313	2509
111	314	2492
112	315	2475
113	316	2456
114	317	2440
115	318	2423
116	319	2407
117	320	2392
118	321	2378
119	322	2365
120	323	2350
121	324	2335
122	325	2321
123	326	2307
124	327	2294
125	328	2280
126	329	2267
127	330	2252
128	331	2240
129	332	2228
130	334	2215
131	335	2204
132	336	2194
133	337	2182
134	338	2170
135	339	2157
136	340	2144
137	341	2131
138	341	2118
139	342	2106
140	343	2093
141	344	2081
142	345	2069
143	346	2057
144	347	2046
145	347	2034
146	348	2023
147	349	2014
148	352	2015
149	353	2005
150	354	1995
151	356	1986
152	357	1977
153	358	1968
154	359	1958
155	360	1948
156	360	1937
157	361	1927
158	362	1915
159	362	1905
160	363	1896
161	364	1887
162	366	1879
163	367	1872
164	368	1863
165	369	1854
166	369	1845
167	370	1835
168	371	1826
169	372	1817
170	373	1809
171	373	1800
172	374	1791
173	375	1783
174	376	1774
175	377	1766
176	378	1758
177	379	1750
178	379	1742
179	381	1737
180	382	1731
181	383	1723
182	384	1715
183	385	1707
184	385	1699
185	386	1692
186	387	1684
187	388	1677
188	389	1669
189	389	1662
190	390	1655
191	391	1648
192	392	1642
193	393	1635
194	394	1629
195	395	1621
196	397	1620
197	398	1614
198	399	1608
199	400	1602
200	401	1596
201	402	1591
202	403	1585
203	404	1579
204	405	1573
205	406	1567
206	407	1561
207	408	1555
208	409	1549
209	410	1542
210	411	1538
211	412	1534
212	413	1529
213	414	1523
214	415	1517
215	416	1511
216	417	1505
217	418	1499
218	418	1493
219	419	1487
220	420	1482
221	421	1478
222	422	1472
223	423	1467
224	424	1460
225	424	1455
226	425	1450
227	427	1446
228	428	1442
229	429	1436
230	430	1431
231	430	1426
232	431	1421
233	432	1415
234	433	1410
235	434	1405
236	435	1400
237	436	1396
238	436	1391
239	437	1386
240	438	1381
241	439	1376
242	440	1371
243	441	1368
244	442	1364
245	443	1359
246	444	1355
247	445	1350
248	446	1345
249	446	1340
250	447	1336
251	448	1331
252	449	1327
253	450	1322
254	451	1317
255	451	1313
256	452	1309
257	453	1304
258	454	1300
259	455	1295
260	456	1292
261	457	1289
262	458	1285
263	459	1281
264	460	1276
265	461	1272
266	461	1268
267	462	1264
268	463	1260
269	464	1256
270	465	1252
271	466	1248
272	467	1244
273	468	1240
274	468	1236
275	469	1231
276	470	1227
277	471	1225
278	473	1222
279	473	1218
280	474	1214
281	475	1210
282	476	1207
283	477	1203
284	478	1199
285	478	1195
286	479	1191
287	480	1187
288	481	1184
289	482	1180
290	483	1176
291	483	1173
292	484	1169
293	485	1165
294	486	1163
295	488	1161
296	489	1158
297	490	1154
298	491	1151
299	492	1148
300	492	1144
301	493	1141
302	494	1138
303	495	1134
304	496	1131
305	497	1128
306	498	1124
307	499	1121
308	500	1118
309	501	1116
310	503	1114
311	504	1112
312	505	1109
313	506	1106
314	507	1103
315	508	1101
316	509	1098
317	510	1095
318	511	1092
319	512	1090
320	514	1087
321	515	1084
322	515	1081
323	517	1079
324	518	1077
325	519	1074
326	520	1072
327	521	1069
328	523	1066
329	523	1063
330	524	1060
331	525	1057
332	526	1054
333	527	1052
334	528	1049
335	529	1046
336	530	1044
337	532	1042
338	533	1040
339	534	1038
340	535	1035
341	536	1032
342	537	1030
343	539	1028
344	540	1025
345	541	1023
346	542	1020
347	543	1018
348	544	1015
349	545	1013
350	547	1012
351	548	1010
352	549	1007
353	550	1004
354	551	1002
355	552	999
356	553	996
357	554	994
358	555	991
359	556	989
360	557	987
361	558	984
362	559	982
363	560	979
364	562	979
365	564	977
366	565	975
367	566	972
368	567	970
369	568	968
370	569	965
371	570	963
372	571	960
373	572	958
374	573	955
375	574	953
376	575	951
377	578	951
378	579	949
379	580	947
380	581	945
381	582	942
382	583	940
383	584	937
384	585	935
385	586	932
386	587	930
387	588	927
388	589	925
389	590	923
390	592	923
391	594	921
392	595	920
393	596	917
394	597	915
395	598	912
396	599	910
397	600	908
398	601	906
399	602	904
400	603	902
401	604	899
402	605	897
403	607	896
404	609	895
405	610	893
406	611	891
407	612	889
408	613	887
409	614	884
410	615	882
411	616	880
412	618	878
413	619	877
414	621	876
415	623	875
416	624	873
417	626	872
418	627	870
419	629	868
420	630	867
421	632	865
422	633	863
423	634	862
424	637	862
425	639	861
426	640	859
427	641	857
428	643	856
429	644	854
430	646	853
431	647	851
432	649	849
433	650	848
434	652	847
435	654	846
436	655	844
437	656	842
438	657	840
439	658	838
440	659	836
441	660	833
442	661	831
443	662	829
444	662	826
445	663	824
446	664	822
447	665	819
448	667	818
449	668	816
450	669	814
451	669	812
452	670	809
453	671	807
454	672	805
455	673	802
456	673	800
457	674	798
458	675	796
459	676	793
460	677	791
461	677	789
462	678	787
463	679	784
464	680	782
465	681	781
466	682	779
467	683	777
468	684	774
469	685	772
470	686	770
471	686	768
472	687	766
473	688	763
474	689	761
475	690	759
476	690	757
477	691	755
478	692	753
479	693	751
480	694	749
481	695	746
482	695	744
483	697	743
484	698	741
485	699	739
486	699	737
487	700	735
488	701	733
489	702	730
490	703	728
491	703	726
492	704	724
493	705	722
494	706	720
495	707	718
496	708	716
497	708	714
498	709	712
499	710	710
500	711	708
501	712	706
502	713	704
503	714	702
504	715	700
505	715	698
506	716	696
507	717	694
508	718	692
509	719	690
510	719	688
511	720	686
512	721	685
513	722	683
514	723	681
515	724	679
516	725	677
517	726	676
518	727	674
519	728	672
520	729	670
521	729	668
522	730	666
523	731	664
524	732	662
525	733	660
526	733	658
527	734	656
528	735	654
529	736	653
530	737	651
531	738	649
532	739	647
533	740	646
534	741	644
535	742	642
536	743	640
537	744	639
538	745	637
539	745	635
540	746	633
541	747	631
542	748	629
543	748	627
544	749	626
545	750	624
546	751	622
547	752	620
548	753	618
549	754	617
550	754	615
551	755	613
552	756	611
553	757	609
554	758	607
555	759	606
556	759	604
557	760	602
558	761	600
559	762	599
560	763	597
561	764	595
562	764	593
563	765	591
564	766	590
565	767	588
566	768	586
567	769	585
568	770	583
569	771	582
570	772	580
571	773	578
572	774	576
573	774	575
574	775	573
575	776	571
576	777	569
577	778	568
578	779	566
579	779	564
580	780	563
581	781	561
582	782	559
583	783	558
584	784	556
585	785	554
586	785	553
587	786	551
588	787	549
589	788	547
590	789	546
591	790	544
592	790	542
593	791	541
594	792	539
595	793	537
596	794	536
597	795	534
598	795	532
599	796	531
600	797	529
601	798	527
602	799	526
603	800	524
604	800	522
605	801	521
606	802	519
607	803	518
608	804	516
609	805	514
610	806	513
611	807	511
612	807	510
613	808	508
614	809	506
615	810	505
616	811	503
617	811	501
618	812	500
619	813	498
620	814	497
621	815	495
622	816	493
623	817	492
624	817	490
625	818	489
626	819	487
627	820	485
628	821	484
629	821	482
630	822	481
631	823	479
632	824	477
633	825	476
634	826	474
635	827	473
636	827	471
637	828	470
638	829	468
639	830	467
640	831	465
641	832	463
642	832	462
643	833	460
644	834	459
645	835	457
646	836	456
647	837	454
648	838	453
649	838	451
650	839	450
651	840	448
